iter,parameter,value
500,alpha,0.015379587585154026
500,Rbasal,0.004190974019118622
500,litterfall_start,254.40127159068393
501,alpha,0.015379587585154026
501,Rbasal,0.0043492863907772725
501,litterfall_start,254.40127159068393
502,alpha,0.01539519304304201
502,Rbasal,0.004400070540781756
502,litterfall_start,253.02912239521277
503,alpha,0.01539519304304201
503,Rbasal,0.004400070540781756
503,litterfall_start,252.93888939196222
504,alpha,0.01539519304304201
504,Rbasal,0.004400070540781756
504,litterfall_start,252.09674351571562
505,alpha,0.01539519304304201
505,Rbasal,0.004415520807772581
505,litterfall_start,252.09674351571562
506,alpha,0.01539519304304201
506,Rbasal,0.004340677298194127
506,litterfall_start,252.09674351571562
507,alpha,0.01539519304304201
507,Rbasal,0.004243250460352687
507,litterfall_start,252.09674351571562
508,alpha,0.015319933032884953
508,Rbasal,0.0043439456329185215
508,litterfall_start,252.6342308730445
509,alpha,0.015319933032884953
509,Rbasal,0.004327313130015823
509,litterfall_start,252.6342308730445
510,alpha,0.015319933032884953
510,Rbasal,0.004384265259409429
510,litterfall_start,252.6342308730445
511,alpha,0.015319933032884953
511,Rbasal,0.004496783412343044
511,litterfall_start,252.6342308730445
512,alpha,0.015319933032884953
512,Rbasal,0.004689236320766866
512,litterfall_start,250.2989241197177
513,alpha,0.015319933032884953
513,Rbasal,0.004689236320766866
513,litterfall_start,250.2989241197177
514,alpha,0.015319933032884953
514,Rbasal,0.004689236320766866
514,litterfall_start,251.68887865010262
515,alpha,0.015319933032884953
515,Rbasal,0.004676679011623085
515,litterfall_start,253.2360207173492
516,alpha,0.015724384542268547
516,Rbasal,0.0044062380003769
516,litterfall_start,253.2360207173492
517,alpha,0.015724384542268547
517,Rbasal,0.0044062380003769
517,litterfall_start,253.2360207173492
518,alpha,0.015724384542268547
518,Rbasal,0.004699216499326858
518,litterfall_start,253.08266549605273
519,alpha,0.015724384542268547
519,Rbasal,0.004669673696136064
519,litterfall_start,253.21581009282787
520,alpha,0.015724384542268547
520,Rbasal,0.004732723665960078
520,litterfall_start,252.97264278851682
521,alpha,0.015724384542268547
521,Rbasal,0.004647911581830724
521,litterfall_start,252.4745203988307
522,alpha,0.015724384542268547
522,Rbasal,0.004647911581830724
522,litterfall_start,253.162714332562
523,alpha,0.015724384542268547
523,Rbasal,0.004454511594357641
523,litterfall_start,252.011570372449
524,alpha,0.015373221258462128
524,Rbasal,0.004454511594357641
524,litterfall_start,252.011570372449
525,alpha,0.015373221258462128
525,Rbasal,0.004491633318830273
525,litterfall_start,252.3988256808832
526,alpha,0.015373221258462128
526,Rbasal,0.004491633318830273
526,litterfall_start,254.125669640124
527,alpha,0.015373221258462128
527,Rbasal,0.004362294177309005
527,litterfall_start,256.400308679772
528,alpha,0.015373221258462128
528,Rbasal,0.004362294177309005
528,litterfall_start,256.400308679772
529,alpha,0.015373221258462128
529,Rbasal,0.004262870214964067
529,litterfall_start,256.73696691040186
530,alpha,0.015373221258462128
530,Rbasal,0.004262870214964067
530,litterfall_start,255.8471098841525
531,alpha,0.015373221258462128
531,Rbasal,0.004262870214964067
531,litterfall_start,255.32944233084447
532,alpha,0.015156324524113909
532,Rbasal,0.0043893437233032346
532,litterfall_start,255.03987078105868
533,alpha,0.015156324524113909
533,Rbasal,0.0043042560352786864
533,litterfall_start,252.48563669762692
534,alpha,0.015156324524113909
534,Rbasal,0.004314274258032624
534,litterfall_start,251.724165967327
535,alpha,0.015156324524113909
535,Rbasal,0.004314274258032624
535,litterfall_start,252.2004383722653
536,alpha,0.015156324524113909
536,Rbasal,0.00457720822724912
536,litterfall_start,252.13258042107202
537,alpha,0.015156324524113909
537,Rbasal,0.00457720822724912
537,litterfall_start,252.52562121312292
538,alpha,0.015156324524113909
538,Rbasal,0.0043934337775106665
538,litterfall_start,251.52663131798343
539,alpha,0.015499765313546259
539,Rbasal,0.0043934337775106665
539,litterfall_start,251.52663131798343
540,alpha,0.015499765313546259
540,Rbasal,0.004747135700345577
540,litterfall_start,251.52663131798343
541,alpha,0.015499765313546259
541,Rbasal,0.0047812732750259525
541,litterfall_start,251.52663131798343
542,alpha,0.015499765313546259
542,Rbasal,0.0049922141110244145
542,litterfall_start,252.18006856140622
543,alpha,0.015499765313546259
543,Rbasal,0.0049922141110244145
543,litterfall_start,252.18006856140622
544,alpha,0.015499765313546259
544,Rbasal,0.0049922141110244145
544,litterfall_start,253.26917535405886
545,alpha,0.015227031150840125
545,Rbasal,0.005133794941692684
545,litterfall_start,253.91169208019357
546,alpha,0.015227031150840125
546,Rbasal,0.005133794941692684
546,litterfall_start,253.91169208019357
547,alpha,0.015227031150840125
547,Rbasal,0.005133794941692684
547,litterfall_start,253.91169208019357
548,alpha,0.015227031150840125
548,Rbasal,0.005133794941692684
548,litterfall_start,253.91169208019357
