doy,soil_resp,soil_temp,soil_moisture
1,1.2279,2.54,17.783
2,1.1017,1.88,16.5965
3,1.0665,1.81,15.7685
4,1.2141,2.54,15.2176
5,1.4991,3.59,14.8407
6,1.3159,3.24,14.8055
7,1.17E+00,2.48,14.6811
8,1.4142,2.18,14.5665
9,1.2349,1.9,14.4825
10,1.1372,1.55,14.3606
11,1.1746,1.43,14.1774
12,1.1522,1.44,14.2854
13,0.866,1.03,14.2403
14,0.8618,0.68,13.7306
15,1.6086,0.52,13.5185
16,2.1929,0.49,13.4333
17,1.9885,0.49,13.3312
18,2.1158,0.51,13.2807
19,2.3901,0.44,13.3659
20,2.4434,0.41,13.3297
21,2.4113,0.4,13.2038
22,2.447,0.28,13.09
25,2.3847,0.36,13.0387
27,2.5117,0.33,12.76
29,2.1586,0.35,12
31,2.1707,0.28,12
35,1.9232,0.25,12
36,1.4942,0.32,12
37,1.8229,0.32,12
38,1.5904,0.26,12
39,1.4764,0.23,12
40,1.8373,0.23,12
41,2.06,0.21,12
42,2.0022,0.17,12
43,1.8833,0.13,12
44,1.5238,0.05,12
45,1.7519,-0.05,12
46,1.9416,-0.05,12
47,1.922,-0.07,12
49,2.3515,-0.14,12
51,2.0963,-0.03,12
52,1.5712,0.27,12
53,1.2377,0,12
54,2.266,-0.08,12
55,1.1501,-0.02,12
68,0.5741,0.16,12
71,2.3352,0.24,12
72,1.51,0.25,12
73,1.066,0.17,12
74,0.8056,0.06,12
75,0.7834,0.1,12
76,0.7023,0.13,12
77,0.6443,0.13,12
78,0.6986,0.18,12
79,0.5058,0.1,12
80,0.6283,0.14,12
81,0.6943,0.16,12
82,0.667,0.14,12
83,0.7655,0.21,12
84,0.913,0.27,12
85,1.1365,1.69,12
86,0.9537,2.82,12
87,0.8127,2.65,12
88,0.7969,2.79,12
89,0.86,3.55,12
90,1.0267,3.23,12
91,1.2187,3.84,12
92,1.0473,4.46,12
93,1.0774,3.53,12
94,0.963,3,12
95,0.8854,2.02,12
96,1.0194,1.64,12
97,1.3401,1.42,12
98,1.3794,1.31,12
99,1.3105,1.22,12
100,0.9115,1.04,12
101,0.8978,0.89,12
102,1.7382,0.94,12
103,1.4472,1,12
104,0.9788,0.96,12
105,0.8417,1.27,12
106,0.8486,2.02,12
107,0.81,2.92,12
108,1.1639,4.03,12
109,1.2174,5.03,11.9104
110,1.2283,5.08,11.6697
123,1.7721,8.83,10.3461
124,1.6477,8.45,10.2466
125,1.5924,8.61,10.0328
126,1.5964,8.71,9.7921
127,1.774,9.25,9.5515
129,2.9266,11.03,9.2622
130,2.96,11.35,9.1951
131,2.3799,11.76,8.8908
132,2.0624,11.04,8.6329
133,1.9627,10.33,8.3948
134,2.8811,11.02,14.5974
135,3.1435,11.72,13.873
136,2.6602,10.01,13.4441
137,2.4594,9.6,13.5835
138,2.2607,10.08,12.541
139,2.3944,10.63,11.7034
140,2.2262,9.78,11.3808
141,2.1198,9.38,10.9202
142,2.4346,10.39,10.3515
143,2.9028,12.04,9.7246
144,3.2313,13.6,8.9674
145,2.8868,13.39,8.3703
